COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE (US$ million)
COFFEE,FINLAND,KGS,839109,3.73
COFFEE,FR POLYNESIA,KGS,12786,0.09
COFFEE,FRANCE,KGS,2271411,6.35
COFFEE,GABON,KGS,71478,0.47
COFFEE,GAMBIA,KGS,179917,1.27
COFFEE,GEORGIA,KGS,266809,1.37
COFFEE,GERMANY,KGS,34214192,78.43
COFFEE,GHANA,KGS,173457,1.26
COFFEE,GREECE,KGS,5544118,11.26
COFFEE,GRENADA,KGS,150,0
COFFEE,GUINEA,KGS,119394,1.12
COFFEE,HONG KONG,KGS,497,0
COFFEE,HUNGARY,KGS,381,0.01
COFFEE,INDONESIA,KGS,1992687,10.07
COFFEE,IRAN,KGS,3559364,10.18
COFFEE,IRAQ,KGS,346431,2.24
COFFEE,IRELAND,KGS,10076,0.03
COFFEE,ISRAEL,KGS,3463259,8.93
COFFEE,ITALY,KGS,63643457,127.85
COFFEE,JAMAICA,KGS,24,0
COFFEE,JAPAN,KGS,494024,2.28
COFFEE,JORDAN,KGS,7468818,21.14
COFFEE,KAZAKHSTAN,KGS,94934,0.61
COFFEE,KENYA,KGS,114981,0.65
COFFEE,KIRIBATI REP,KGS,2417,0.03
COFFEE,KOREA DP RP,KGS,33200,0.11
COFFEE,KOREA RP,KGS,4080114,10.11
COFFEE,KUWAIT,KGS,6567664,20.15
COFFEE,LATVIA,KGS,591666,2.23
COFFEE,LEBANON,KGS,249954,0.55
COFFEE,LIBERIA,KGS,50,0
COFFEE,LIBYA,KGS,3702737,7.85
COFFEE,LITHUANIA,KGS,133145,0.58
COFFEE,LUXEMBOURG,KGS,10020,0.04
COFFEE,MACAO,KGS,4000,0.01
COFFEE,MACEDONIA,KGS,2900,0.01
COFFEE,MADAGASCAR,KGS,60,0
COFFEE,MALAWI,KGS,74,0
COFFEE,MALAYSIA,KGS,2997452,14.9
COFFEE,MALDIVES,KGS,7828,0.06
COFFEE,MALI,KGS,482264,2.9
COFFEE,MAURITANIA,KGS,275183,2.19
COFFEE,MAURITIUS,KGS,403,0.01
COFFEE,MEXICO,KGS,406000,0.65
COFFEE,MICRONESIA,KGS,3240,0.03
COFFEE,MOLDOVA,KGS,9120,0.09
COFFEE,MONTENEGRO,KGS,708400,1.24
COFFEE,MOROCCO,KGS,1802400,3.34
COFFEE,MOZAMBIQUE,KGS,11,0
COFFEE,MYANMAR,KGS,227600,1.12
COFFEE,NEPAL,KGS,663076,4.08
COFFEE,NETHERLAND,KGS,2081803,7.77
COFFEE,NEW ZEALAND,KGS,395294,1.15
COFFEE,NIGER,KGS,576036,4.32
COFFEE,NIGERIA,KGS,458463,2.96
COFFEE,NORWAY,KGS,129174,0.49
COFFEE,OMAN,KGS,978762,2.27
COFFEE,PAKISTAN IR,KGS,305,0
COFFEE,PAPUA N GNA,KGS,1000,0.01
COFFEE,PERU,KGS,11200,0.03
COFFEE,PHILIPPINES,KGS,200,0.01
COFFEE,POLAND,KGS,6675167,30.42
COFFEE,PORTUGAL,KGS,2974200,5.56
COFFEE,QATAR,KGS,209143,0.68
COFFEE,ROMANIA,KGS,347600,1.36
COFFEE,RUSSIA,KGS,12127226,60.67
COFFEE,RWANDA,KGS,6,0
COFFEE,SAMOA,KGS,70,0
COFFEE,SAUDI ARAB,KGS,3363926,9.54
COFFEE,SENEGAL,KGS,476340,3.52
COFFEE,SEYCHELLES,KGS,322,0
COFFEE,SINGAPORE,KGS,823482,4.19
COFFEE,SLOVAK REP,KGS,30540,0.18
COFFEE,SLOVENIA,KGS,5731440,10.07
COFFEE,SOMALIA,KGS,9956,0.09
COFFEE,SOUTH AFRICA,KGS,157604,0.56
COFFEE,SPAIN,KGS,5965673,13.74
COFFEE,SRI LANKA DSR,KGS,67087,0.34
COFFEE,SUDAN,KGS,12382,0.1
COFFEE,SWEDEN,KGS,155581,0.51
COFFEE,SWITZERLAND,KGS,1438771,5.25
COFFEE,SYRIA,KGS,2589550,6.67
COFFEE,TAIWAN,KGS,1326384,4.99
COFFEE,TANZANIA REP,KGS,20941,0.12
COFFEE,THAILAND,KGS,50,0
COFFEE,TOGO,KGS,588800,4.54
COFFEE,TRINIDAD,KGS,383,0
COFFEE,TUNISIA,KGS,93635,0.66
COFFEE,TURKEY,KGS,4465818,20.67
COFFEE,TURKMENISTAN,KGS,31737,0.22
COFFEE,U ARAB EMTS,KGS,2599923,9.68
COFFEE,U K,KGS,3213544,11.17
COFFEE,U S A,KGS,4188986,31.58
COFFEE,UGANDA,KGS,4015,0.03
COFFEE,UKRAINE,KGS,4524299,13.71
COFFEE,UZBEKISTAN,KGS,113682,0.51
COFFEE,VIETNAM SOC REP,KGS,1121915,5.01
COFFEE,ZAMBIA,KGS,468,0
RICE -BASMOTI,AFGHANISTAN,TON,476,0.46
RICE -BASMOTI,ALGERIA,TON,13118,12.61
RICE -BASMOTI,ANGOLA,TON,1485,1.58
RICE -BASMOTI,ARGENTINA,TON,70,0.09
RICE -BASMOTI,ARMENIA,TON,365,0.34
RICE -BASMOTI,ARUBA,TON,142,0.16
RICE -BASMOTI,AUSTRALIA,TON,42878,51.99
RICE -BASMOTI,AUSTRIA,TON,437,0.67
RICE -BASMOTI,AZERBAIJAN,TON,16614,15.53
RICE -BASMOTI,BAHARAIN IS,TON,32202,32.45
RICE -BASMOTI,BANGLADESH PR,TON,2374,2.8
RICE -BASMOTI,BELARUS,TON,100,0.1
RICE -BASMOTI,BELGIUM,TON,8700,9.6
RICE -BASMOTI,BELIZE,TON,2,0
RICE -BASMOTI,BENIN,TON,1217,1.12
RICE -BASMOTI,BHUTAN,TON,780,0.51
RICE -BASMOTI,BOSNIA-HRZGOVIN,TON,23,0.04
RICE -BASMOTI,BOTSWANA,TON,277,0.41
RICE -BASMOTI,BRUNEI,TON,706,0.82
RICE -BASMOTI,BULGARIA,TON,71,0.08
RICE -BASMOTI,BURKINA FASO,TON,834,0.75
RICE -BASMOTI,C AFRI REP,TON,738,0.6
RICE -BASMOTI,CAMBODIA,TON,45,0.05
RICE -BASMOTI,CAMEROON,TON,139,0.16
RICE -BASMOTI,CANADA,TON,53174,61.33
RICE -BASMOTI,CAYMAN IS,TON,63,0.07
RICE -BASMOTI,CHILE,TON,191,0.24
RICE -BASMOTI,CHINA P RP,TON,186,0.23
RICE -BASMOTI,COLOMBIA,TON,83,0.08
RICE -BASMOTI,COMOROS,TON,1143,1.25
RICE -BASMOTI,CONGO D. REP.,TON,187,0.17
RICE -BASMOTI,CONGO P REP,TON,222,0.21
RICE -BASMOTI,COSTA RICA,TON,38,0.05
RICE -BASMOTI,COTE D' IVOIRE,TON,7186,6.53
RICE -BASMOTI,CROATIA,TON,58,0.07
RICE -BASMOTI,CYPRUS,TON,924,1.03
RICE -BASMOTI,CZECH REPUBLIC,TON,93,0.11
RICE -BASMOTI,DENMARK,TON,770,0.91
RICE -BASMOTI,DJIBOUTI,TON,2928,2.63
RICE -BASMOTI,DOMINIC REP,TON,1,0
RICE -BASMOTI,EGYPT A RP,TON,21921,20.98
RICE -BASMOTI,EQUTL GUINEA,TON,105,0.11
RICE -BASMOTI,ESTONIA,TON,60,0.06
RICE -BASMOTI,ETHIOPIA,TON,8956,6.93
RICE -BASMOTI,FIJI IS,TON,445,0.53
RICE -BASMOTI,FINLAND,TON,333,0.43
RICE -BASMOTI,FRANCE,TON,4445,4.84
RICE -BASMOTI,GABON,TON,145,0.14
RICE -BASMOTI,GAMBIA,TON,628,0.38
RICE -BASMOTI,GEORGIA,TON,6629,5.94
RICE -BASMOTI,GERMANY,TON,10767,13.49
RICE -BASMOTI,GHANA,TON,1339,1.13
RICE -BASMOTI,GREECE,TON,1230,1.09
RICE -BASMOTI,GRENADA,TON,1,0
RICE -BASMOTI,GUADELOUPE,TON,235,0.17
RICE -BASMOTI,GUINEA,TON,45,0.05
RICE -BASMOTI,GUYANA,TON,2,0
RICE -BASMOTI,HAITI,TON,102,0.07
RICE -BASMOTI,HONG KONG,TON,1131,1.41
RICE -BASMOTI,HUNGARY,TON,113,0.12
RICE -BASMOTI,INDONESIA,TON,227,0.26
RICE -BASMOTI,IRAN,TON,1319156,1246.02
RICE -BASMOTI,IRAQ,TON,465889,433.92
RICE -BASMOTI,IRELAND,TON,1025,1.17
RICE -BASMOTI,ISRAEL,TON,40966,43.01
RICE -BASMOTI,ITALY,TON,12184,13.21
RICE -BASMOTI,JAMAICA,TON,494,0.75
RICE -BASMOTI,JAPAN,TON,1145,1.52
RICE -BASMOTI,JORDAN,TON,65975,67.25
RICE -BASMOTI,KAZAKHSTAN,TON,400,0.36
RICE -BASMOTI,KENYA,TON,6694,6.2
RICE -BASMOTI,KOREA RP,TON,428,0.47
RICE -BASMOTI,KUWAIT,TON,197105,201.05
RICE -BASMOTI,KYRGHYZSTAN,TON,394,0.36
RICE -BASMOTI,LATVIA,TON,20,0.03
RICE -BASMOTI,LEBANON,TON,11979,13.12
RICE -BASMOTI,LIBERIA,TON,50,0.06
RICE -BASMOTI,LIBYA,TON,1124,1.27
RICE -BASMOTI,LITHUANIA,TON,77,0.07
RICE -BASMOTI,LUXEMBOURG,TON,22,0.02
RICE -BASMOTI,MADAGASCAR,TON,66,0.07
RICE -BASMOTI,MALAWI,TON,49,0.05
RICE -BASMOTI,MALAYSIA,TON,33365,34.45
RICE -BASMOTI,MALDIVES,TON,2349,2.67
RICE -BASMOTI,MALI,TON,818,0.67
RICE -BASMOTI,MALTA,TON,335,0.44
RICE -BASMOTI,MARTINIQUE,TON,20,0.03
RICE -BASMOTI,MAURITANIA,TON,4855,4.84
RICE -BASMOTI,MAURITIUS,TON,27832,30.64
RICE -BASMOTI,MAYOTTE,TON,41,0.05
RICE -BASMOTI,MEXICO,TON,761,0.84
RICE -BASMOTI,MOLDOVA,TON,1,0
RICE -BASMOTI,MONTENEGRO,TON,25,0.02
RICE -BASMOTI,MOROCCO,TON,892,1.04
RICE -BASMOTI,MOZAMBIQUE,TON,1207,1.28
RICE -BASMOTI,MYANMAR,TON,25,0.02
RICE -BASMOTI,NEPAL,TON,7286,5.93
RICE -BASMOTI,NETHERLAND,TON,50247,45.07
RICE -BASMOTI,NETHERLANDANTIL,TON,210,0.26
RICE -BASMOTI,NEW ZEALAND,TON,6134,6.39
RICE -BASMOTI,NIGER,TON,100,0.1
RICE -BASMOTI,NIGERIA,TON,3877,4.72
RICE -BASMOTI,NORWAY,TON,861,1.28
RICE -BASMOTI,OMAN,TON,74351,75.87
RICE -BASMOTI,PANAMA REPUBLIC,TON,45,0.05
RICE -BASMOTI,PAPUA N GNA,TON,1,0
RICE -BASMOTI,PHILIPPINES,TON,245,0.29
RICE -BASMOTI,POLAND,TON,842,0.76
RICE -BASMOTI,PORTUGAL,TON,3821,3.09
RICE -BASMOTI,QATAR,TON,62128,64.95
RICE -BASMOTI,REUNION,TON,9068,9.45
RICE -BASMOTI,ROMANIA,TON,179,0.18
RICE -BASMOTI,RUSSIA,TON,9099,8.7
RICE -BASMOTI,RWANDA,TON,4,0
RICE -BASMOTI,SAO TOME,TON,23,0.02
RICE -BASMOTI,SAUDI ARAB,TON,974122,955.89
RICE -BASMOTI,SENEGAL,TON,664,0.67
RICE -BASMOTI,SEYCHELLES,TON,4833,4.4
RICE -BASMOTI,SIERRA LEONE,TON,28,0.03
RICE -BASMOTI,SINGAPORE,TON,12101,14.57
RICE -BASMOTI,SLOVENIA,TON,419,0.82
RICE -BASMOTI,SOMALIA,TON,8929,8.33
RICE -BASMOTI,SOUTH AFRICA,TON,17335,19.03
RICE -BASMOTI,SPAIN,TON,1946,2.21
RICE -BASMOTI,SRI LANKA DSR,TON,1037,1.02
RICE -BASMOTI,SUDAN,TON,3122,2.87
RICE -BASMOTI,SURINAME,TON,12,0.02
RICE -BASMOTI,SWEDEN,TON,4349,5.04
RICE -BASMOTI,SWITZERLAND,TON,1782,2.38
RICE -BASMOTI,SYRIA,TON,21697,19.57
RICE -BASMOTI,TAIWAN,TON,93,0.13
RICE -BASMOTI,TAJIKISTAN,TON,24,0.02
RICE -BASMOTI,TANZANIA REP,TON,6902,6.41
RICE -BASMOTI,THAILAND,TON,996,1.15
RICE -BASMOTI,TOGO,TON,730,0.64
RICE -BASMOTI,TRINIDAD,TON,228,0.28
RICE -BASMOTI,TUNISIA,TON,190,0.15
RICE -BASMOTI,TURKEY,TON,37842,33.26
RICE -BASMOTI,TURKMENISTAN,TON,368,0.32
RICE -BASMOTI,U ARAB EMTS,TON,208521,209.17
RICE -BASMOTI,U K,TON,115712,103.79
RICE -BASMOTI,U S A,TON,148392,181.26
RICE -BASMOTI,UGANDA,TON,195,0.21
RICE -BASMOTI,UKRAINE,TON,2503,2.56
RICE -BASMOTI,UNSPECIFIED,TON,5,0.01
RICE -BASMOTI,URUGUAY,TON,3,0.01
RICE -BASMOTI,UZBEKISTAN,TON,48,0.05
RICE -BASMOTI,VIETNAM SOC REP,TON,94,0.12
RICE -BASMOTI,YEMEN REPUBLC,TON,203330,195.65
RICE -BASMOTI,ZAMBIA,TON,31,0.03
RICE(OTHER THAN BASMOTI),ALGERIA,TON,50291,18.66
RICE(OTHER THAN BASMOTI),ANGOLA,TON,33208,13.62
RICE(OTHER THAN BASMOTI),ANTIGUA,TON,26,0.01
RICE(OTHER THAN BASMOTI),ARMENIA,TON,88,0.04
RICE(OTHER THAN BASMOTI),AUSTRALIA,TON,15930,8.92
RICE(OTHER THAN BASMOTI),AUSTRIA,TON,34,0.04
RICE(OTHER THAN BASMOTI),AZERBAIJAN,TON,2469,1.32
RICE(OTHER THAN BASMOTI),BAHARAIN IS,TON,13391,7.48
RICE(OTHER THAN BASMOTI),BANGLADESH PR,TON,13083,12.12
RICE(OTHER THAN BASMOTI),BELARUS,TON,808,0.3
RICE(OTHER THAN BASMOTI),BELGIUM,TON,248,0.16
RICE(OTHER THAN BASMOTI),BENIN,TON,535246,195.9
RICE(OTHER THAN BASMOTI),BHUTAN,TON,37233,12.9
RICE(OTHER THAN BASMOTI),BOLIVIA,TON,176,0.14
RICE(OTHER THAN BASMOTI),BOTSWANA,TON,339,0.14
RICE(OTHER THAN BASMOTI),BRAZIL,TON,4,0
RICE(OTHER THAN BASMOTI),BRUNEI,TON,2419,1.21
RICE(OTHER THAN BASMOTI),BULGARIA,TON,277,0.12
RICE(OTHER THAN BASMOTI),BURKINA FASO,TON,36275,12.66
RICE(OTHER THAN BASMOTI),CAMBODIA,TON,15,0.01
RICE(OTHER THAN BASMOTI),CAMEROON,TON,9644,3.49
RICE(OTHER THAN BASMOTI),CANADA,TON,7695,5.38
RICE(OTHER THAN BASMOTI),CAYMAN IS,TON,19,0.02
RICE(OTHER THAN BASMOTI),CHILE,TON,5,0
RICE(OTHER THAN BASMOTI),CHINA P RP,TON,1572,0.78
RICE(OTHER THAN BASMOTI),COMOROS,TON,47,0.03
RICE(OTHER THAN BASMOTI),CONGO D. REP.,TON,2142,0.73
RICE(OTHER THAN BASMOTI),CONGO P REP,TON,5838,2.12
RICE(OTHER THAN BASMOTI),COTE D' IVOIRE,TON,293892,107.7
RICE(OTHER THAN BASMOTI),CROATIA,TON,104,0.04
RICE(OTHER THAN BASMOTI),CYPRUS,TON,1,0
RICE(OTHER THAN BASMOTI),CZECH REPUBLIC,TON,0,0
RICE(OTHER THAN BASMOTI),DENMARK,TON,95,0.08
RICE(OTHER THAN BASMOTI),DJIBOUTI,TON,192793,69.04
RICE(OTHER THAN BASMOTI),EGYPT A RP,TON,81604,30.94
RICE(OTHER THAN BASMOTI),EQUTL GUINEA,TON,3711,1.56
RICE(OTHER THAN BASMOTI),ERITREA,TON,785,0.3
RICE(OTHER THAN BASMOTI),ETHIOPIA,TON,67147,24.3
RICE(OTHER THAN BASMOTI),FIJI IS,TON,12,0.01
RICE(OTHER THAN BASMOTI),FINLAND,TON,9,0
RICE(OTHER THAN BASMOTI),FRANCE,TON,1040,0.67
RICE(OTHER THAN BASMOTI),GABON,TON,939,0.42
RICE(OTHER THAN BASMOTI),GAMBIA,TON,11068,4.12
RICE(OTHER THAN BASMOTI),GEORGIA,TON,1545,0.65
RICE(OTHER THAN BASMOTI),GERMANY,TON,2236,1.73
RICE(OTHER THAN BASMOTI),GHANA,TON,55458,21.23
RICE(OTHER THAN BASMOTI),GREECE,TON,150,0.06
RICE(OTHER THAN BASMOTI),GRENADA,TON,1,0
RICE(OTHER THAN BASMOTI),GUINEA,TON,327421,120.41
RICE(OTHER THAN BASMOTI),GUINEA BISSAU,TON,4649,1.68
RICE(OTHER THAN BASMOTI),HAITI,TON,733,0.51
RICE(OTHER THAN BASMOTI),HONG KONG,TON,268,0.2
RICE(OTHER THAN BASMOTI),INDONESIA,TON,105,0.08
RICE(OTHER THAN BASMOTI),IRAN,TON,9675,7.51
RICE(OTHER THAN BASMOTI),IRAQ,TON,87955,50.33
RICE(OTHER THAN BASMOTI),IRELAND,TON,657,0.5
RICE(OTHER THAN BASMOTI),ISRAEL,TON,8861,4.21
RICE(OTHER THAN BASMOTI),ITALY,TON,3746,2.69
RICE(OTHER THAN BASMOTI),JAMAICA,TON,37,0.02
RICE(OTHER THAN BASMOTI),JAPAN,TON,109,0.08
RICE(OTHER THAN BASMOTI),JORDAN,TON,7796,3.25
RICE(OTHER THAN BASMOTI),KAZAKHSTAN,TON,612,0.3
RICE(OTHER THAN BASMOTI),KENYA,TON,7535,3.41
RICE(OTHER THAN BASMOTI),KOREA RP,TON,12,0.01
RICE(OTHER THAN BASMOTI),KUWAIT,TON,36126,20.02
RICE(OTHER THAN BASMOTI),KYRGHYZSTAN,TON,99,0.06
RICE(OTHER THAN BASMOTI),LEBANON,TON,946,0.59
RICE(OTHER THAN BASMOTI),LIBERIA,TON,219852,79.94
RICE(OTHER THAN BASMOTI),LIBYA,TON,1957,0.89
RICE(OTHER THAN BASMOTI),LITHUANIA,TON,681,0.27
RICE(OTHER THAN BASMOTI),MADAGASCAR,TON,10945,3.69
RICE(OTHER THAN BASMOTI),MALAWI,TON,144,0.09
RICE(OTHER THAN BASMOTI),MALAYSIA,TON,73342,28.63
RICE(OTHER THAN BASMOTI),MALDIVES,TON,27234,11.48
RICE(OTHER THAN BASMOTI),MALI,TON,3012,1.1
RICE(OTHER THAN BASMOTI),MAURITANIA,TON,655,0.36
RICE(OTHER THAN BASMOTI),MAURITIUS,TON,11896,4.67
RICE(OTHER THAN BASMOTI),MOLDOVA,TON,396,0.15
RICE(OTHER THAN BASMOTI),MOROCCO,TON,7345,2.88
RICE(OTHER THAN BASMOTI),MOZAMBIQUE,TON,12811,4.51
RICE(OTHER THAN BASMOTI),MYANMAR,TON,65,0.06
RICE(OTHER THAN BASMOTI),NAMIBIA,TON,15631,5.54
RICE(OTHER THAN BASMOTI),NEPAL,TON,681169,245.3
RICE(OTHER THAN BASMOTI),NETHERLAND,TON,9966,6.25
RICE(OTHER THAN BASMOTI),NETHERLANDANTIL,TON,0,0
